PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
5.0,5.0,5.0,9285.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.02,39.02,39.02,0.021012,0.032508
5.0,5.0,6.0,9475.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.02,39.02,32.5167,0.020591,0.031856
5.0,5.0,7.0,9665.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.02,39.02,27.8714,0.020186,0.03123
5.0,5.0,8.0,9855.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.02,39.02,24.3875,0.019797,0.030628
5.0,5.0,9.0,10045.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.02,39.02,21.6778,0.019423,0.030048
5.0,5.0,10.0,10235.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.02,39.02,19.51,0.019062,0.029491
5.0,6.0,3.0,9255.0,54.2,86.21,60.05,154.68,84.55,406.13,125.13,5.73,214.73,130.85,160.2,-76.32,245.26,292.84,467.61,3037.07,40.8759,49.051,81.7517,0.0265,0.031641
5.0,6.0,4.0,9445.0,54.2,86.19,60.61,154.69,84.54,405.89,125.36,5.72,215.3,131.08,160.2,-75.98,245.37,292.84,468.26,3037.71,40.895,49.074,61.3425,0.025979,0.031005
5.0,6.0,5.0,9635.0,54.2,86.17,60.91,154.69,84.54,405.72,125.54,5.72,215.6,131.26,160.2,-75.85,245.32,292.84,468.65,3038.1,40.8869,49.0643,49.0643,0.025461,0.030393
5.0,6.0,6.0,9825.0,54.2,86.17,60.91,154.69,84.54,405.72,125.54,5.72,215.6,131.26,160.2,-75.85,245.32,292.84,468.65,3038.1,40.8871,49.0645,40.8871,0.024969,0.029806
